epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,223.13,0.4043,0.83067,1.06847,0.98671,0.75,0.74543,0.59593,0.73118,1.01677,1.32043,0.000251,0.000251,0.000251
108,225.173,0.40361,0.65032,1.03245,0.98671,0.75,0.74543,0.59593,0.73118,1.01677,1.32043,0.0002345,0.0002345,0.0002345
109,227.268,0.5764,0.96407,1.14286,0.98671,0.75,0.74543,0.59593,0.73118,1.01677,1.32043,0.000218,0.000218,0.000218
110,229.342,0.40043,0.63212,1.04131,0.98692,0.75,0.74543,0.62092,0.69196,0.99652,1.2654,0.0002015,0.0002015,0.0002015
111,231.371,0.55943,1.68243,1.26377,0.98692,0.75,0.74543,0.62092,0.69196,0.99652,1.2654,0.000185,0.000185,0.000185
112,233.394,0.57166,1.99158,1.24819,0.98692,0.75,0.74543,0.62092,0.69196,0.99652,1.2654,0.0001685,0.0001685,0.0001685
113,235.412,0.33353,1.49673,0.99306,0.98692,0.75,0.74543,0.62092,0.69196,0.99652,1.2654,0.000152,0.000152,0.000152
114,237.557,0.38501,1.43952,1.11881,0.98693,0.75,0.74543,0.6459,0.67494,0.90693,1.277,0.0001355,0.0001355,0.0001355
115,239.618,0.33668,1.31786,1.0541,0.98693,0.75,0.74543,0.6459,0.67494,0.90693,1.277,0.000119,0.000119,0.000119
116,241.684,0.39383,1.59472,0.95638,0.98693,0.75,0.74543,0.6459,0.67494,0.90693,1.277,0.0001025,0.0001025,0.0001025
117,243.781,0.38593,1.60418,1.14871,0.98693,0.75,0.74543,0.6459,0.67494,0.90693,1.277,8.6e-05,8.6e-05,8.6e-05
118,245.824,0.48627,2.26639,1.2503,0.9861,0.75,0.74543,0.6459,0.71319,0.99297,1.31971,6.95e-05,6.95e-05,6.95e-05
119,247.84,0.34789,1.32843,1.0072,0.9861,0.75,0.74543,0.6459,0.71319,0.99297,1.31971,5.3e-05,5.3e-05,5.3e-05
120,249.859,0.47815,1.52815,1.19517,0.9861,0.75,0.74543,0.6459,0.71319,0.99297,1.31971,3.65e-05,3.65e-05,3.65e-05
